LIVE-11Q-B — X1331 SIGNAL OBSERVER
Classical quantum-inspired runtime
No SHA execution
No future digest knowledge
PASS / TRY signal laboratory

============================================================
STIMULUS 000  bits=[0, 0, 0]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
    20   2.8065   0.0645   0.0076   0.3576   0.4824   0.0024 -0.0002    8      0
    21   2.8151   0.0616   0.0526   0.3139   0.3572   0.0064 +0.0039    8      0
    22   2.6807   0.1064   0.0526   0.7565   0.4953   0.0151 +0.0087    8      0
    23   2.8878   0.0374   0.0209   0.1338   0.3856   0.0015 -0.0135    8      0
    24   2.4161   0.1946   0.0728   0.1171   0.4229   0.0136 +0.0121    4      0
    25   2.6692   0.1103   0.1283   0.5395   0.6138   0.0180 +0.0044    8      0
    26   2.4464   0.1845   0.0411   0.6558   0.4641   0.0222 +0.0042    4      0
    27   1.9535   0.3488   0.3142   0.3976   0.4587   0.0907 +0.0685    4      0
    28   1.5274   0.4909   0.6555   0.8332   0.5994   0.2296 +0.1389    2      0
    29   1.7644   0.4119   0.4635   0.5168   0.1946   0.1809 -0.0487    2      0
    30   2.2244   0.2585   0.2536   0.1816   0.1939   0.0498 -0.1311    4      0
    31   2.6666   0.1111   0.0935   0.6700   0.5814   0.0180 -0.0318    8      0
   128   2.6441   0.1186   0.0443   0.6414   0.5267   0.0138 +0.0083    8      0
   256   2.1871   0.2710   0.2675   0.5931   0.1604   0.0989 -0.0394    4      0
   384   2.7205   0.0932   0.0165   0.3878   0.4035   0.0057 -0.0146    8      0
   512   2.5731   0.1423   0.0370   0.2659   0.3677   0.0112 -0.0305    4      0
   640   2.6761   0.1080   0.0055   0.5305   0.1543   0.0054 -0.0251    8      0
   768   2.5050   0.1650   0.1636   0.4126   0.2563   0.0370 +0.0295    4      0
   896   2.3510   0.2163   0.2391   0.3232   0.5215   0.0416 +0.0206    4      0
  1024   2.4397   0.1868   0.1651   0.3344   0.1634   0.0401 +0.0287    4      0
  1152   2.2847   0.2384   0.1797   0.3159   0.6992   0.0312 +0.0072    4      0
  1280   2.3137   0.2288   0.3717   0.4984   0.2945   0.0827 +0.0340    4      0
  1408   2.6575   0.1142   0.0122   0.4637   0.3827   0.0068 -0.0102    8      0
  1536   2.6866   0.1045   0.0765   0.5585   0.3177   0.0178 +0.0147    8      0
  1664   2.3369   0.2210   0.1839   0.5702   0.1258   0.0669 +0.0522    4      0
  1792   2.1607   0.2798   0.2409   0.6793   0.4879   0.0810 +0.0618    4      0
  1920   2.3239   0.2254   0.0519   0.3158   0.3203   0.0238 -0.0428    4      0
  2048   2.5745   0.1418   0.1497   0.6550   0.3576   0.0356 +0.0253    4      0
  2176   2.7143   0.0952   0.0883   0.2256   0.3269   0.0110 +0.0087    8      0
  2304   2.5379   0.1540   0.1066   0.5845   0.1934   0.0345 +0.0089    4      0
  2432   2.5583   0.1472   0.1379   0.4775   0.4501   0.0280 +0.0126    4      0
  2560   2.7083   0.0972   0.1082   0.2839   0.3319   0.0139 -0.0181    8      0
  2688   2.8440   0.0520   0.0574   0.4740   0.3355   0.0070 +0.0039    8      0
  2816   2.2544   0.2485   0.1322   0.1346   0.4503   0.0246 +0.0189    4      0
  2944   2.3746   0.2085   0.0555   0.4099   0.3765   0.0248 -0.0311    4      0
